metric,avg_power_W,avg_power_W,avg_power_W,avg_power_W,duration_s,duration_s,duration_s,duration_s,nodes,nodes,nodes,nodes,total_energy,total_energy,total_energy,total_energy,cores,req_walltime,count
machine,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,,,
func_name,,,,,,,,,,,,,,,,,,,
134,4.029321492279484,0.15006728851840542,4.447500000000001,0.8265744247089242,221.6939778522489,271.21058200239736,298.8333333333333,1817.4967977626302,4.0,1.0,2.0,1.0,57640.43424158471,58202.95885664176,166342.5866666667,296071.6154352306,64.0,780.0,6.0
135,4.044248740130843,0.19632617043179754,4.493333333333333,0.8273438558121969,269.4205438029709,341.3078901560535,330.3333333333333,2287.515360659348,4.0,1.0,2.0,1.0,70049.34138877243,74256.60842679061,184845.7244444444,372750.64351045043,64.0,840.0,6.0
136,4.169702816521362,0.639191592428137,4.811612903225806,0.8338104570319078,4502.403657397608,5536.003833658541,5973.1612903225805,37118.069630035716,4.0,1.0,2.0,1.0,1170624.950923378,1361349.0806919674,3464094.4269719045,6063751.473855114,64.0,86400.0,62.0
137,4.1736724301183,0.6507887387264637,4.978405017921148,0.834015026093288,12565.96952873854,16411.9851746804,13990.379928315413,110043.00642121628,4.0,1.0,2.0,1.0,3267152.0774720204,4048024.0092464536,8262969.1093177125,17978492.042127363,64.0,86400.0,279.0
138,4.145534639118492,0.5636769605080503,5.525,0.8325647097684611,510.1429929304503,388.11350473693085,1344.0,2601.0349268713894,4.0,1.0,2.0,1.0,132637.17816191708,93564.58947473418,840806.4,424707.7548511046,64.0,86400.0,1.0
139,4.1446671146379535,0.5608310872969042,4.647710843373494,0.8325199328741617,1056.2011382853914,1332.2870732525744,1308.2530120481927,8932.085339112758,4.0,1.0,2.0,1.0,274612.2959542018,320938.88252134423,744989.2487153432,1458442.2888668473,64.0,86400.0,249.0
14,5.279469265485741,2.8481801437445053,4.067499999999999,0.6921723313962406,7.317519912077038,9.584491731279414,9.0,63.28975463493855,1.0,1.0,1.0,1.0,475.63879428500746,2401.5945495028946,1809.7199999999998,7662.791682149823,16.0,20.0,2.0
140,3.287840549213897,2.4457740000210317,4.015000000000001,0.7883544684602796,55.77728918916712,72.14023847857405,65.0,482.73134445196445,4.0,1.0,2.0,1.0,13189.197930253822,26080.826944185326,34382.4,77456.50628744694,64.0,86400.0,1.0
141,4.111799645071004,0.4454330301627241,4.834782608695653,0.8308257665834027,705.9066175734334,969.4464032319743,654.4782608695652,6499.314848065505,4.0,1.0,2.0,1.0,183535.7205690927,226373.21339676098,380530.734215501,1060511.7207055043,64.0,86400.0,23.0
142,4.171749043592922,0.6451971700594928,5.143926211453745,0.8339159308048386,7381.688604852138,9549.572176251912,8473.515418502202,64029.74126947238,4.0,1.0,2.0,1.0,1919239.037261556,2351989.1405090247,5094373.0299536185,10460578.502197165,64.0,86400.0,908.0
143,4.174981331042184,0.654562423179147,5.031979166666667,0.8340824990580601,22069.095518614064,28616.969987937347,25146.083333333332,191878.39045827553,4.0,1.0,2.0,1.0,5737964.834839657,7065300.813565505,14937946.983888887,31349337.025845617,64.0,86400.0,144.0
144,4.1691083513505305,0.6374349546535745,5.044552023121387,0.8337797956030828,4827.598000622289,6259.753839154204,5501.93352601156,41971.2388059594,4.0,1.0,2.0,1.0,1255175.4801617952,1538621.434921255,3272832.4726572884,6856501.607077358,64.0,86400.0,346.0
145,4.176143935689262,0.6578929213550511,4.69,0.8341424476789258,90736.27370200839,123752.62470526334,86400.0,829778.8045081515,4.0,1.0,2.0,1.0,23591431.162522182,30579910.51531185,49434624.00000001,135573506.7694661,64.0,86400.0,1.0
146,4.0328904845333,0.16016715783074736,5.11,0.8267583898761653,231.68473353044584,285.85819861993224,305.5,1915.71240646242,4.0,1.0,2.0,1.0,60238.03071791592,61531.17681088271,183006.72,312093.56820735673,64.0,900.0,14.0
