Job_unique_id, Job_shared_id, User_id, Selected_endpoint, Credit_lost, New_credit, Job_end_time
20, 85, 0, 2, 0.002156, 989.533791, 339.925308
21, 85, 1, 2, 0.002156, 986.411887, 339.962921
22, 85, 2, 3, 0.009122, 981.854248, 251.540035
23, 85, 3, 1, 0.034892, 979.318837, 260.009693
24, 86, 0, 2, 0.030417, 989.503374, 340.495716
25, 86, 1, 2, 0.030417, 986.381470, 341.028510
26, 86, 2, 3, 0.067142, 981.787106, 252.303007
27, 86, 3, 2, 0.030417, 979.288420, 341.561305
28, 87, 0, 1, 0.000294, 989.503080, 260.013746
29, 87, 1, 2, 0.000327, 986.381142, 341.566982
30, 87, 2, 3, 0.002250, 981.784856, 252.328790
31, 87, 3, 3, 0.002250, 979.286169, 252.354572
0, 88, 0, 2, 0.889830, 988.613249, 352.782339
1, 88, 1, 2, 0.996811, 985.384331, 363.997695
2, 88, 2, 3, 1.498213, 980.286643, 268.616222
3, 88, 3, 2, 0.996811, 978.289358, 375.213052
4, 89, 0, 1, 0.002486, 988.610763, 260.067703
5, 89, 1, 2, 0.002546, 985.381786, 375.256703
6, 89, 2, 0, 0.003434, 980.283209, 3.704375
7, 89, 3, 3, 0.006404, 978.282954, 268.690254
8, 90, 0, 2, 0.015681, 988.595082, 375.516234
9, 90, 1, 2, 0.015681, 985.366105, 375.775765
10, 90, 2, 1, 0.379905, 979.903305, 268.385320
11, 90, 3, 2, 0.015681, 978.267273, 376.035296
12, 91, 0, 2, 0.001493, 988.593589, 376.061351
13, 91, 1, 2, 0.001493, 985.364612, 376.087406
14, 91, 2, 1, 0.002085, 979.901220, 268.430406
15, 91, 3, 2, 0.001493, 978.265780, 376.113462
16, 92, 0, 3, 0.011908, 988.581681, 268.827947
17, 92, 1, 2, 0.188647, 985.175964, 379.407729
18, 92, 2, 3, 0.011908, 979.889312, 268.965641
19, 92, 3, 3, 0.011908, 978.253872, 269.103334
20, 93, 0, 2, 0.002156, 988.579525, 379.445342
21, 93, 1, 2, 0.002156, 985.173809, 379.482955
22, 93, 2, 1, 0.034892, 979.854420, 269.191540
23, 93, 3, 2, 0.002156, 978.251716, 379.520568
24, 94, 0, 2, 0.030417, 988.549108, 380.053363
25, 94, 1, 2, 0.030417, 985.143392, 380.586158
26, 94, 2, 3, 0.067142, 979.787278, 269.866305
27, 94, 3, 2, 0.030417, 978.221299, 381.118953
28, 95, 0, 1, 0.000294, 988.548814, 269.195593
29, 95, 1, 2, 0.000327, 985.143064, 381.124630
30, 95, 2, 1, 0.000294, 979.786984, 269.199646
31, 95, 3, 2, 0.000327, 978.220972, 381.130306
0, 96, 0, 2, 0.889830, 987.658984, 392.345663
1, 96, 1, 2, 0.996811, 984.146253, 403.561020
2, 96, 2, 1, 0.953236, 978.833748, 286.086200
3, 96, 3, 1, 0.953236, 977.267736, 302.972754
4, 97, 0, 1, 0.002486, 987.656498, 303.026711
5, 97, 1, 2, 0.002546, 984.143708, 403.604671
6, 97, 2, 0, 0.003434, 978.830314, 4.041136
7, 97, 3, 3, 0.006404, 977.261331, 269.940337
8, 98, 0, 2, 0.015681, 987.640817, 403.864202
9, 98, 1, 2, 0.015681, 984.128027, 404.123733
10, 98, 2, 3, 0.045591, 978.784723, 270.459728
11, 98, 3, 3, 0.045591, 977.215740, 270.979119
12, 99, 0, 2, 0.001493, 987.639324, 404.149788
13, 99, 1, 2, 0.001493, 984.126534, 404.175843
14, 99, 2, 3, 0.011672, 978.773051, 271.112839
15, 99, 3, 2, 0.001493, 977.214247, 404.201899
16, 100, 0, 3, 0.011908, 987.627416, 271.250532
17, 100, 1, 2, 0.188647, 983.937886, 407.496166
18, 100, 2, 3, 0.011908, 978.761143, 271.388225
19, 100, 3, 1, 1.162331, 976.051916, 328.543124
20, 101, 0, 2, 0.002156, 987.625260, 407.533779
21, 101, 1, 2, 0.002156, 983.935731, 407.571392
22, 101, 2, 3, 0.009122, 978.752021, 271.493398
23, 101, 3, 2, 0.002156, 976.049761, 407.609005
24, 102, 0, 2, 0.030417, 987.594843, 408.141800
25, 102, 1, 2, 0.030417, 983.905314, 408.674595
26, 102, 2, 3, 0.067142, 978.684879, 272.256369
27, 102, 3, 2, 0.030417, 976.019343, 409.207390
28, 103, 0, 1, 0.000294, 987.594549, 328.547177
29, 103, 1, 2, 0.000327, 983.904986, 409.213066
30, 103, 2, 3, 0.002250, 978.682629, 272.282152
31, 103, 3, 1, 0.000294, 976.019050, 328.551230
0, 104, 0, 2, 0.889830, 986.704718, 420.428423
1, 104, 1, 2, 0.996811, 982.908175, 431.643780
2, 104, 2, 3, 1.498213, 977.184416, 288.543802
3, 104, 3, 1, 0.953236, 975.065814, 345.437784
4, 105, 0, 1, 0.002486, 986.702232, 345.491741
5, 105, 1, 2, 0.002546, 982.905630, 431.687431
6, 105, 2, 0, 0.003434, 977.180982, 4.377898
7, 105, 3, 1, 0.002508, 975.063306, 345.545698
8, 106, 0, 2, 0.015681, 986.686551, 431.946962
9, 106, 1, 2, 0.015681, 982.889949, 432.206493
10, 106, 2, 3, 0.045591, 977.135391, 289.063193
11, 106, 3, 1, 0.379905, 974.683401, 353.863315
12, 107, 0, 2, 0.001493, 986.685058, 432.232548
13, 107, 1, 2, 0.001493, 982.888456, 432.258603
14, 107, 2, 3, 0.011672, 977.123719, 289.196913
15, 107, 3, 3, 0.011672, 974.671729, 289.330633
16, 108, 0, 3, 0.011908, 986.673150, 289.468326
17, 108, 1, 2, 0.188647, 982.699808, 435.552870
18, 108, 2, 3, 0.011908, 977.111811, 289.606019
19, 108, 3, 3, 0.011908, 974.659821, 289.743712
20, 109, 0, 2, 0.002156, 986.670994, 435.590484
21, 109, 1, 2, 0.002156, 982.697653, 435.628097
22, 109, 2, 3, 0.009122, 977.102689, 289.848885
23, 109, 3, 1, 0.034892, 974.624929, 354.624450
24, 110, 0, 2, 0.030417, 986.640577, 436.160892
25, 110, 1, 2, 0.030417, 982.667236, 436.693686
26, 110, 2, 3, 0.067142, 977.035547, 290.611857
27, 110, 3, 1, 0.049588, 974.575341, 355.691357
28, 111, 0, 1, 0.000294, 986.640283, 355.695410
29, 111, 1, 2, 0.000327, 982.666908, 436.699363
30, 111, 2, 3, 0.002250, 977.033297, 290.637640
31, 111, 3, 1, 0.000294, 974.575047, 355.699463
0, 112, 0, 2, 0.889830, 985.750453, 447.914720
1, 112, 1, 2, 0.996811, 981.670097, 459.130076
2, 112, 2, 3, 1.498213, 975.535084, 306.899290
3, 112, 3, 3, 1.498213, 973.076835, 323.160940
4, 113, 0, 1, 0.002486, 985.747967, 355.753420
5, 113, 1, 2, 0.002546, 981.667552, 459.173728
6, 113, 2, 0, 0.003434, 975.531650, 4.714659
7, 113, 3, 3, 0.006404, 973.070430, 323.234972
8, 114, 0, 2, 0.015681, 985.732286, 459.433259
9, 114, 1, 2, 0.015681, 981.651871, 459.692789
10, 114, 2, 3, 0.045591, 975.486059, 323.754363
11, 114, 3, 3, 0.045591, 973.024839, 324.273754
12, 115, 0, 2, 0.001493, 985.730793, 459.718845
13, 115, 1, 2, 0.001493, 981.650378, 459.744900
14, 115, 2, 3, 0.011672, 975.474388, 324.407474
15, 115, 3, 1, 0.002085, 973.022754, 355.798506
16, 116, 0, 3, 0.011908, 985.718885, 324.545167
17, 116, 1, 2, 0.188647, 981.461730, 463.039167
18, 116, 2, 3, 0.011908, 975.462480, 324.682860
19, 116, 3, 1, 1.162331, 971.860424, 381.314919
20, 117, 0, 2, 0.002156, 985.716729, 463.076780
21, 117, 1, 2, 0.002156, 981.459575, 463.114394
22, 117, 2, 3, 0.009122, 975.453357, 324.788032
23, 117, 3, 2, 0.002156, 971.858268, 463.152007
